edge_count,edge_share_of_graph_edges,rank,relationship_type,schema_triple,source_label,target_label
7331,0.0030251711072431615,26,IN_ONVOC,StatisticalMap -[IN_ONVOC]-> OntologyConcept,StatisticalMap,OntologyConcept
7331,0.0030251711072431615,27,IN_ONVOC,StatisticalMap -[IN_ONVOC]-> OnvocClass,StatisticalMap,OnvocClass
6496,0.0026806044895173343,28,ABOUT,DataResource -[ABOUT]-> Concept,DataResource,Concept
6496,0.0026806044895173343,29,ABOUT,DataResource -[ABOUT]-> OntologyConcept,DataResource,OntologyConcept
6496,0.0026806044895173343,30,ABOUT,DataResource -[ABOUT]-> OnvocClass,DataResource,OnvocClass
4502,0.0018577711532954187,31,MEASURES,StatsMap -[MEASURES]-> Concept,StatsMap,Concept
4142,0.0017092154857729063,32,HAS_VERSION,Tool -[HAS_VERSION]-> ToolVersion,Tool,ToolVersion
3729,0.001538789122754024,33,ABOUT,OpenNeuro -[ABOUT]-> Concept,OpenNeuro,Concept
3729,0.001538789122754024,34,ABOUT,OpenNeuro -[ABOUT]-> OntologyConcept,OpenNeuro,OntologyConcept
3729,0.001538789122754024,35,ABOUT,OpenNeuro -[ABOUT]-> OnvocClass,OpenNeuro,OnvocClass
3560,0.0014690504899448446,36,MEASURES,Task -[MEASURES]-> Task,Task,Task
3395,0.001400962475663693,37,CITES,Publication -[CITES]-> Publication,Publication,Publication
3205,0.001322558095582367,38,MAPS_TO,Concept -[MAPS_TO]-> Concept,Concept,Concept
3101,0.0012796420138536412,39,ABOUT,Dataset -[ABOUT]-> Concept,Dataset,Concept
3101,0.0012796420138536412,40,ABOUT,Dataset -[ABOUT]-> OntologyConcept,Dataset,OntologyConcept
3101,0.0012796420138536412,41,ABOUT,Dataset -[ABOUT]-> OnvocClass,Dataset,OnvocClass
2773,0.0011442912945553523,42,MEASURES,Task -[MEASURES]-> Concept,Task,Concept
2655,0.0010955980479785288,43,SUPPORTS_MODALITY,Tool -[SUPPORTS_MODALITY]-> Modality,Tool,Modality
2167,0.0008942225875591231,44,IMPLEMENTS_FAMILY,Tool -[IMPLEMENTS_FAMILY]-> TaskFamily,Tool,TaskFamily
2127,0.000877716402278844,45,IMPLEMENTS_FAMILY,Tool -[IMPLEMENTS_FAMILY]-> ToolFamily,Tool,ToolFamily
1982,0.0008178814806378321,46,PARTICIPATES_IN,Subject -[PARTICIPATES_IN]-> TaskAnalysis,Subject,TaskAnalysis
1902,0.0007848691100772737,47,SUGGESTS_MEASURES,StatsMap -[SUGGESTS_MEASURES]-> Concept,StatsMap,Concept
1839,0.000758871868260834,48,HAS_MODALITY,Dataset -[HAS_MODALITY]-> Modality,Dataset,Modality
1839,0.000758871868260834,49,HAS_MODALITY,DataResource -[HAS_MODALITY]-> Modality,DataResource,Modality
1694,0.0006990369466198221,50,HOSTED_AT,Dataset -[HOSTED_AT]-> Repository,Dataset,Repository
1694,0.0006990369466198221,51,HOSTED_AT,DataResource -[HOSTED_AT]-> Repository,DataResource,Repository
1585,0.0006540575917310614,52,HAS_CONTRAST,Task -[HAS_CONTRAST]-> Contrast,Task,Contrast
1569,0.0006474551176189498,53,HAS_TASK,Dataset -[HAS_TASK]-> Task,Dataset,Task
1569,0.0006474551176189498,54,HAS_TASK,DataResource -[HAS_TASK]-> Task,DataResource,Task
1454,0.0005999998349381472,55,BELONGS_TO,StatisticalMap -[BELONGS_TO]-> StatisticalMap,StatisticalMap,StatisticalMap
1337,0.0005517192429933306,56,ABOUT,Tool -[ABOUT]-> Concept,Tool,Concept
1337,0.0005517192429933306,57,ABOUT,Tool -[ABOUT]-> OntologyConcept,Tool,OntologyConcept
1337,0.0005517192429933306,58,ABOUT,Tool -[ABOUT]-> OnvocClass,Tool,OnvocClass
1327,0.0005475926966732609,59,HAS_REGION,Atlas -[HAS_REGION]-> BrainRegion,Atlas,BrainRegion
1326,0.0005471800420412539,60,PART_OF,BrainRegion -[PART_OF]-> BrainRegion,BrainRegion,BrainRegion
1312,0.0005414028771931562,61,MAPS_TO,Concept -[MAPS_TO]-> Task,Concept,Task
1289,0.0005319118206569957,62,MAPS_TO,Task -[MAPS_TO]-> Concept,Task,Concept
1237,0.0005104537797926328,63,ASSERTS,Task -[ASSERTS]-> Concept,Task,Concept
1218,0.0005026133417845002,64,HAS_PHENOTYPE,SubjectGroup -[HAS_PHENOTYPE]-> Phenotype,SubjectGroup,Phenotype
1218,0.0005026133417845002,65,MEASUREDBY,Concept -[MEASUREDBY]-> Task,Concept,Task
1091,0.0004502062035196139,66,HASCITATION,Task -[HASCITATION]-> Citation,Task,Citation
990,0.00040852808568690903,67,INVOLVES_SPECIES,Dataset -[INVOLVES_SPECIES]-> Species,Dataset,Species
990,0.00040852808568690903,68,INVOLVES_SPECIES,DataResource -[INVOLVES_SPECIES]-> Species,DataResource,Species
807,0.0003330122880296319,69,HASCONDITION,Task -[HASCONDITION]-> TaskCondition,Task,TaskCondition
796,0.00032847308707755515,70,HAS_REGION,Parcellation -[HAS_REGION]-> BrainRegion,Parcellation,BrainRegion
765,0.0003156807934853388,71,CLASSIFIED_UNDER,Concept -[CLASSIFIED_UNDER]-> Concept,Concept,Concept
765,0.0003156807934853388,72,CLASSIFIED_UNDER,Concept -[CLASSIFIED_UNDER]-> OntologyConcept,Concept,OntologyConcept
765,0.0003156807934853388,73,CLASSIFIED_UNDER,Concept -[CLASSIFIED_UNDER]-> OnvocClass,Concept,OnvocClass
765,0.0003156807934853388,74,CLASSIFIED_UNDER,OntologyConcept -[CLASSIFIED_UNDER]-> Concept,OntologyConcept,Concept
765,0.0003156807934853388,75,CLASSIFIED_UNDER,OntologyConcept -[CLASSIFIED_UNDER]-> OntologyConcept,OntologyConcept,OntologyConcept
765,0.0003156807934853388,76,CLASSIFIED_UNDER,OntologyConcept -[CLASSIFIED_UNDER]-> OnvocClass,OntologyConcept,OnvocClass
765,0.0003156807934853388,77,CLASSIFIED_UNDER,OnvocClass -[CLASSIFIED_UNDER]-> Concept,OnvocClass,Concept
765,0.0003156807934853388,78,CLASSIFIED_UNDER,OnvocClass -[CLASSIFIED_UNDER]-> OntologyConcept,OnvocClass,OntologyConcept
765,0.0003156807934853388,79,CLASSIFIED_UNDER,OnvocClass -[CLASSIFIED_UNDER]-> OnvocClass,OnvocClass,OnvocClass
750,0.0003094909740052341,80,USES_CONDITION,Contrast -[USES_CONDITION]-> Condition,Contrast,Condition
750,0.0003094909740052341,81,USES_CONDITION,GLMContrast -[USES_CONDITION]-> Condition,GLMContrast,Condition
640,0.00026409896448446646,82,MAPS_TO,Contrast -[MAPS_TO]-> Contrast,Contrast,Contrast
640,0.00026409896448446646,83,MAPS_TO,Contrast -[MAPS_TO]-> GLMContrast,Contrast,GLMContrast
621,0.00025625852647633387,84,MAPS_TO,GLMContrast -[MAPS_TO]-> Contrast,GLMContrast,Contrast
621,0.00025625852647633387,85,MAPS_TO,GLMContrast -[MAPS_TO]-> GLMContrast,GLMContrast,GLMContrast
612,0.00025254463478827105,86,SUGGESTS_MEASURES,Task -[SUGGESTS_MEASURES]-> Task,Task,Task
584,0.00024099030509207564,87,HASINDICATOR,Task -[HASINDICATOR]-> TaskIndicator,Task,TaskIndicator
523,0.00021581837253964993,88,CLASSIFIEDUNDER,Concept -[CLASSIFIEDUNDER]-> Process,Concept,Process
523,0.00021581837253964993,89,CLASSIFIEDUNDER,Concept -[CLASSIFIEDUNDER]-> ConceptClass,Concept,ConceptClass
517,0.00021334244474760804,90,BELONGS_TO,Contrast -[BELONGS_TO]-> Publication,Contrast,Publication
517,0.00021334244474760804,91,BELONGS_TO,GLMContrast -[BELONGS_TO]-> Publication,GLMContrast,Publication
508,0.00020962855305954524,92,IN_ONVOC,Contrast -[IN_ONVOC]-> Concept,Contrast,Concept
508,0.00020962855305954524,93,IN_ONVOC,Contrast -[IN_ONVOC]-> OntologyConcept,Contrast,OntologyConcept
508,0.00020962855305954524,94,IN_ONVOC,Contrast -[IN_ONVOC]-> OnvocClass,Contrast,OnvocClass
432,0.00017826680102701485,95,HAS_RESOURCE,TaskAnalysis -[HAS_RESOURCE]-> DataResource,TaskAnalysis,DataResource
432,0.00017826680102701485,96,HAS_RESOURCE,TaskAnalysis -[HAS_RESOURCE]-> OpenNeuro,TaskAnalysis,OpenNeuro
429,0.00017702883713099392,97,KINDOF,Concept -[KINDOF]-> Concept,Concept,Concept
402,0.00016588716206680548,98,INCLUDES,Dataset -[INCLUDES]-> SubjectGroup,Dataset,SubjectGroup
393,0.00016217327037874266,99,HAS_CONTRAST,ModelSpec -[HAS_CONTRAST]-> Contrast,ModelSpec,Contrast
393,0.00016217327037874266,100,HAS_CONTRAST,ModelSpec -[HAS_CONTRAST]-> GLMContrast,ModelSpec,GLMContrast
367,0.00015144424994656123,101,IN_ONVOC,Dataset -[IN_ONVOC]-> Concept,Dataset,Concept
367,0.00015144424994656123,102,IN_ONVOC,Dataset -[IN_ONVOC]-> OntologyConcept,Dataset,OntologyConcept
367,0.00015144424994656123,103,IN_ONVOC,Dataset -[IN_ONVOC]-> OnvocClass,Dataset,OnvocClass
367,0.00015144424994656123,104,IN_ONVOC,DataResource -[IN_ONVOC]-> Concept,DataResource,Concept
367,0.00015144424994656123,105,IN_ONVOC,DataResource -[IN_ONVOC]-> OntologyConcept,DataResource,OntologyConcept
367,0.00015144424994656123,106,IN_ONVOC,DataResource -[IN_ONVOC]-> OnvocClass,DataResource,OnvocClass
362,0.00014938097678652632,107,PRODUCES_RESOURCE,ToolVersion -[PRODUCES_RESOURCE]-> ResourceType,ToolVersion,ResourceType
338,0.00013947726561835884,108,CONSUMES_RESOURCE,ToolVersion -[CONSUMES_RESOURCE]-> ResourceType,ToolVersion,ResourceType
310,0.00012792293592216343,109,HAS_CONDITION,TaskAnalysis -[HAS_CONDITION]-> Condition,TaskAnalysis,Condition
292,0.00012049515254603782,110,AFFILIATED_WITH,Author -[AFFILIATED_WITH]-> Institution,Author,Institution
263,0.00010852816821783543,111,PARTOF,Concept -[PARTOF]-> Concept,Concept,Concept
243,0.00010027507557769585,112,HAS_CONTRAST,Dataset -[HAS_CONTRAST]-> Contrast,Dataset,Contrast
243,0.00010027507557769585,113,HAS_CONTRAST,Dataset -[HAS_CONTRAST]-> GLMContrast,Dataset,GLMContrast
243,0.00010027507557769585,114,HAS_CONTRAST,OpenNeuro -[HAS_CONTRAST]-> Contrast,OpenNeuro,Contrast
243,0.00010027507557769585,115,HAS_CONTRAST,OpenNeuro -[HAS_CONTRAST]-> GLMContrast,OpenNeuro,GLMContrast
243,0.00010027507557769585,116,HAS_CONTRAST,TaskSpec -[HAS_CONTRAST]-> Contrast,TaskSpec,Contrast
243,0.00010027507557769585,117,HAS_CONTRAST,TaskSpec -[HAS_CONTRAST]-> GLMContrast,TaskSpec,GLMContrast
232,9.573587462561909e-05,118,AUTHORED_BY,Publication -[AUTHORED_BY]-> Author,Publication,Author
217,8.95460551455144e-05,119,BELONGS_TO,Contrast -[BELONGS_TO]-> Study,Contrast,Study
217,8.95460551455144e-05,120,BELONGS_TO,GLMContrast -[BELONGS_TO]-> Study,GLMContrast,Study
202,8.335623566540972e-05,121,HASCITATION,Concept -[HASCITATION]-> Citation,Concept,Citation
185,7.634110692129108e-05,122,RELATED_TO,Task -[RELATED_TO]-> Concept,Task,Concept
176,7.262721523322827e-05,123,BELONGS_TO_FAMILY,Task -[BELONGS_TO_FAMILY]-> TaskFamily,Task,TaskFamily
162,6.685005038513057e-05,124,REQUIRES_FIELD,ReviewRule -[REQUIRES_FIELD]-> ReviewSchemaField,ReviewRule,ReviewSchemaField
151,6.231084943305381e-05,125,USES_TASK,Experiment -[USES_TASK]-> Task,Experiment,Task
151,6.231084943305381e-05,126,USES_TASK,Psych101Experiment -[USES_TASK]-> Task,Psych101Experiment,Task
148,6.107288553703286e-05,127,HAS_GLM_PRIOR,TaskSpec -[HAS_GLM_PRIOR]-> GLMDesignPrior,TaskSpec,GLMDesignPrior
144,5.942226700900495e-05,128,HAS_RESOURCE,ModelSpec -[HAS_RESOURCE]-> DataResource,ModelSpec,DataResource
144,5.942226700900495e-05,129,HAS_RESOURCE,ModelSpec -[HAS_RESOURCE]-> OpenNeuro,ModelSpec,OpenNeuro
134,5.5295720688935164e-05,130,INBATTERY,Task -[INBATTERY]-> Battery,Task,Battery
110,4.539200952076767e-05,131,HAS_TASK,Dataset -[HAS_TASK]-> TaskSpec,Dataset,TaskSpec
102,4.209077246471184e-05,132,HAS_VALIDITY_LAYER,ReviewRule -[HAS_VALIDITY_LAYER]-> ReviewValidityLayer,ReviewRule,ReviewValidityLayer
99,4.0852808568690905e-05,133,PART_OF,Dataset -[PART_OF]-> Consortium,Dataset,Consortium
99,4.0852808568690905e-05,134,PART_OF,DataResource -[PART_OF]-> Consortium,DataResource,Consortium
98,4.044015393668392e-05,135,CLASSIFIED_UNDER,Experiment -[CLASSIFIED_UNDER]-> TaskFamily,Experiment,TaskFamily
98,4.044015393668392e-05,136,CLASSIFIED_UNDER,Psych101Experiment -[CLASSIFIED_UNDER]-> TaskFamily,Psych101Experiment,TaskFamily
81,3.3425025192565284e-05,137,HAS_REASON_TAG,ReviewRule -[HAS_REASON_TAG]-> ReviewReasonTag,ReviewRule,ReviewReasonTag
80,3.301237056055831e-05,138,CONTAINS_IMPLEMENTATION_RULE,ReviewImplementationRuleCatalog -[CONTAINS_IMPLEMENTATION_RULE]-> ReviewImplementationRule,ReviewImplementationRuleCatalog,ReviewImplementationRule
76,3.136175203253039e-05,139,HAS_EXPERIMENT,Dataset -[HAS_EXPERIMENT]-> Experiment,Dataset,Experiment
76,3.136175203253039e-05,140,HAS_EXPERIMENT,Dataset -[HAS_EXPERIMENT]-> Psych101Experiment,Dataset,Psych101Experiment
76,3.136175203253039e-05,141,HAS_EXPERIMENT,Psych101Dataset -[HAS_EXPERIMENT]-> Experiment,Psych101Dataset,Experiment
76,3.136175203253039e-05,142,HAS_EXPERIMENT,Psych101Dataset -[HAS_EXPERIMENT]-> Psych101Experiment,Psych101Dataset,Psych101Experiment
75,3.094909740052341e-05,143,MAPS_TO,Collection -[MAPS_TO]-> Dataset,Collection,Dataset
72,2.9711133504502474e-05,144,DESCRIBES_TASK,ModelSpec -[DESCRIBES_TASK]-> TaskAnalysis,ModelSpec,TaskAnalysis
72,2.9711133504502474e-05,145,HAS_GLM_PRIOR,Dataset -[HAS_GLM_PRIOR]-> GLMDesignPrior,Dataset,GLMDesignPrior
72,2.9711133504502474e-05,146,HAS_GLM_PRIOR,OpenNeuro -[HAS_GLM_PRIOR]-> GLMDesignPrior,OpenNeuro,GLMDesignPrior
72,2.9711133504502474e-05,147,HAS_TASK,DataResource -[HAS_TASK]-> TaskSpec,DataResource,TaskSpec
71,2.9298478872495497e-05,148,CONTAINS_RULE,ReviewRuleRegistry -[CONTAINS_RULE]-> ReviewRule,ReviewRuleRegistry,ReviewRule
71,2.9298478872495497e-05,149,HAS_LIFECYCLE_STATUS,ReviewRule -[HAS_LIFECYCLE_STATUS]-> ReviewLifecycleStatus,ReviewRule,ReviewLifecycleStatus
71,2.9298478872495497e-05,150,HAS_SEVERITY,ReviewRule -[HAS_SEVERITY]-> ReviewSeverity,ReviewRule,ReviewSeverity
71,2.9298478872495497e-05,151,IN_RULE_GROUP,ReviewRule -[IN_RULE_GROUP]-> ReviewRuleGroup,ReviewRule,ReviewRuleGroup
61,2.517193255242571e-05,152,MAPS_TO,Collection -[MAPS_TO]-> DataResource,Collection,DataResource
60,2.475927792041873e-05,153,CONTAINS_CALIBRATION_CASE,ReviewRuleRegistry -[CONTAINS_CALIBRATION_CASE]-> ReviewCalibrationCase,ReviewRuleRegistry,ReviewCalibrationCase
60,2.475927792041873e-05,154,MAPS_TO,Concept -[MAPS_TO]-> OntologyConcept,Concept,OntologyConcept
60,2.475927792041873e-05,155,MAPS_TO,Concept -[MAPS_TO]-> OnvocClass,Concept,OnvocClass
55,2.2696004760383833e-05,156,CALIBRATES_RULE,ReviewCalibrationCase -[CALIBRATES_RULE]-> ReviewRule,ReviewCalibrationCase,ReviewRule
53,2.1870695496369876e-05,157,CONTRAST_OF,Contrast -[CONTRAST_OF]-> Concept,Contrast,Concept
53,2.1870695496369876e-05,158,CONTRAST_OF,GLMContrast -[CONTRAST_OF]-> Concept,GLMContrast,Concept
49,2.022007696834196e-05,159,CITED_BY,Dataset -[CITED_BY]-> Publication,Dataset,Publication
49,2.022007696834196e-05,160,CITED_BY,DataResource -[CITED_BY]-> Publication,DataResource,Publication
43,1.7744149176300088e-05,161,DERIVED_FROM,StatMap -[DERIVED_FROM]-> Contrast,StatMap,Contrast
40,1.6506185280279154e-05,162,IN_ONVOC,GLMContrast -[IN_ONVOC]-> Concept,GLMContrast,Concept
40,1.6506185280279154e-05,163,IN_ONVOC,GLMContrast -[IN_ONVOC]-> OntologyConcept,GLMContrast,OntologyConcept
40,1.6506185280279154e-05,164,IN_ONVOC,GLMContrast -[IN_ONVOC]-> OnvocClass,GLMContrast,OnvocClass
40,1.6506185280279154e-05,165,IN_ONVOC,StatMap -[IN_ONVOC]-> Concept,StatMap,Concept
40,1.6506185280279154e-05,166,IN_ONVOC,StatMap -[IN_ONVOC]-> OntologyConcept,StatMap,OntologyConcept
40,1.6506185280279154e-05,167,IN_ONVOC,StatMap -[IN_ONVOC]-> OnvocClass,StatMap,OnvocClass
38,1.5680876016265196e-05,168,HAS_TASK,OpenNeuro -[HAS_TASK]-> TaskSpec,OpenNeuro,TaskSpec
38,1.5680876016265196e-05,169,MAPS_TO,Dataset -[MAPS_TO]-> Dataset,Dataset,Dataset
38,1.5680876016265196e-05,170,MAPS_TO,Dataset -[MAPS_TO]-> OpenNeuro,Dataset,OpenNeuro
38,1.5680876016265196e-05,171,MAPS_TO,OpenNeuro -[MAPS_TO]-> Dataset,OpenNeuro,Dataset
38,1.5680876016265196e-05,172,MAPS_TO,OpenNeuro -[MAPS_TO]-> OpenNeuro,OpenNeuro,OpenNeuro
32,1.3204948224223322e-05,173,MEASURES,TaskAnalysis -[MEASURES]-> Concept,TaskAnalysis,Concept
28,1.1554329696195407e-05,174,MAPPED_TO_IMPLEMENTATION,ReviewRule -[MAPPED_TO_IMPLEMENTATION]-> ReviewImplementationRule,ReviewRule,ReviewImplementationRule
26,1.072902043218145e-05,175,HAS_PARCEL,Parcellation -[HAS_PARCEL]-> Parcel,Parcellation,Parcel
24,9.903711168167492e-06,176,MAPS_TO,StatisticalMap -[MAPS_TO]-> Dataset,StatisticalMap,Dataset
23,9.491056536160513e-06,177,IN_ONVOC,TaskAnalysis -[IN_ONVOC]-> Concept,TaskAnalysis,Concept
23,9.491056536160513e-06,178,IN_ONVOC,TaskAnalysis -[IN_ONVOC]-> OntologyConcept,TaskAnalysis,OntologyConcept
23,9.491056536160513e-06,179,IN_ONVOC,TaskAnalysis -[IN_ONVOC]-> OnvocClass,TaskAnalysis,OnvocClass
22,9.078401904153534e-06,180,IN_ONVOC,Concept -[IN_ONVOC]-> Concept,Concept,Concept
22,9.078401904153534e-06,181,IN_ONVOC,Concept -[IN_ONVOC]-> OntologyConcept,Concept,OntologyConcept
22,9.078401904153534e-06,182,IN_ONVOC,Concept -[IN_ONVOC]-> OnvocClass,Concept,OnvocClass
19,7.840438008132598e-06,183,MAPS_TO,TaskAnalysis -[MAPS_TO]-> Task,TaskAnalysis,Task
19,7.840438008132598e-06,184,MAPS_TO,StatisticalMap -[MAPS_TO]-> DataResource,StatisticalMap,DataResource
18,7.4277833761256185e-06,185,IN_SPACE,Parcellation -[IN_SPACE]-> TemplateSpace,Parcellation,TemplateSpace
17,7.01512874411864e-06,186,IN_ONVOC,TaskSpec -[IN_ONVOC]-> Concept,TaskSpec,Concept
17,7.01512874411864e-06,187,IN_ONVOC,TaskSpec -[IN_ONVOC]-> OntologyConcept,TaskSpec,OntologyConcept
17,7.01512874411864e-06,188,IN_ONVOC,TaskSpec -[IN_ONVOC]-> OnvocClass,TaskSpec,OnvocClass
17,7.01512874411864e-06,189,IN_PARCELLATION,BrainRegion -[IN_PARCELLATION]-> Parcellation,BrainRegion,Parcellation
13,5.364510216090725e-06,190,VALIDATED_ON,Tool -[VALIDATED_ON]-> DataResource,Tool,DataResource
11,4.539200952076767e-06,191,VALIDATED_ON,Tool -[VALIDATED_ON]-> Dataset,Tool,Dataset
10,4.126546320069788e-06,192,ABOUT,Study -[ABOUT]-> Concept,Study,Concept
10,4.126546320069788e-06,193,ABOUT,Study -[ABOUT]-> OntologyConcept,Study,OntologyConcept
10,4.126546320069788e-06,194,ABOUT,Study -[ABOUT]-> OnvocClass,Study,OnvocClass
8,3.3012370560558305e-06,195,MEASURES,Concept -[MEASURES]-> Task,Concept,Task
7,2.8885824240488517e-06,196,HAS_VARIANT,GLMRun -[HAS_VARIANT]-> GLMVariant,GLMRun,GLMVariant
6,2.475927792041873e-06,197,DERIVED_FROM,StatMap -[DERIVED_FROM]-> GLMContrast,StatMap,GLMContrast
6,2.475927792041873e-06,198,HAS_POLICY_DECISION,ReviewRuleRegistry -[HAS_POLICY_DECISION]-> ReviewPolicyDecision,ReviewRuleRegistry,ReviewPolicyDecision
6,2.475927792041873e-06,199,HAS_RESOURCE,Parcellation -[HAS_RESOURCE]-> DataResource,Parcellation,DataResource
5,2.063273160034894e-06,200,ACTIVATES,Task -[ACTIVATES]-> Region,Task,Region
5,2.063273160034894e-06,201,TRIGGERS_SENSITIVITY,ReviewRule -[TRIGGERS_SENSITIVITY]-> ReviewSensitivityTemplate,ReviewRule,ReviewSensitivityTemplate
4,1.6506185280279152e-06,202,HAD_FAILURE,Run -[HAD_FAILURE]-> ExecutionFailure,Run,ExecutionFailure
4,1.6506185280279152e-06,203,HAS_GLM_PRIOR,Task -[HAS_GLM_PRIOR]-> GLMDesignPrior,Task,GLMDesignPrior
3,1.2379638960209365e-06,204,FAILED_ON,Tool -[FAILED_ON]-> Dataset,Tool,Dataset
3,1.2379638960209365e-06,205,FAILED_ON,Tool -[FAILED_ON]-> DataResource,Tool,DataResource
3,1.2379638960209365e-06,206,HAD_FAILURE,Tool -[HAD_FAILURE]-> ExecutionFailure,Tool,ExecutionFailure
3,1.2379638960209365e-06,207,MAPS_TO,TaskAnalysis -[MAPS_TO]-> Concept,TaskAnalysis,Concept
3,1.2379638960209365e-06,208,RELATED_TO,Concept -[RELATED_TO]-> Task,Concept,Task
2,8.253092640139576e-07,209,DOCUMENTED_IN,Tool -[DOCUMENTED_IN]-> Publication,Tool,Publication
2,8.253092640139576e-07,210,HAS_PARCELLATION,Atlas -[HAS_PARCELLATION]-> Parcellation,Atlas,Parcellation
2,8.253092640139576e-07,211,RELATED_TO,Concept -[RELATED_TO]-> Concept,Concept,Concept
1,4.126546320069788e-07,212,ACTIVATES,Concept -[ACTIVATES]-> Task,Concept,Task
1,4.126546320069788e-07,213,CALIBRATES_MODIFIER,ReviewCalibrationCase -[CALIBRATES_MODIFIER]-> ReviewPositiveModifier,ReviewCalibrationCase,ReviewPositiveModifier
1,4.126546320069788e-07,214,CITES,Atlas -[CITES]-> Publication,Atlas,Publication
1,4.126546320069788e-07,215,CITES,Concept -[CITES]-> Task,Concept,Task
1,4.126546320069788e-07,216,CONTAINS_MODIFIER,ReviewRuleRegistry -[CONTAINS_MODIFIER]-> ReviewPositiveModifier,ReviewRuleRegistry,ReviewPositiveModifier
1,4.126546320069788e-07,217,CONTRAST_OF,Contrast -[CONTRAST_OF]-> OntologyConcept,Contrast,OntologyConcept
1,4.126546320069788e-07,218,CONTRAST_OF,Contrast -[CONTRAST_OF]-> OnvocClass,Contrast,OnvocClass
1,4.126546320069788e-07,219,CONTRAST_OF,GLMContrast -[CONTRAST_OF]-> OntologyConcept,GLMContrast,OntologyConcept
1,4.126546320069788e-07,220,CONTRAST_OF,GLMContrast -[CONTRAST_OF]-> OnvocClass,GLMContrast,OnvocClass
1,4.126546320069788e-07,221,HAS_EVIDENCE,Tool -[HAS_EVIDENCE]-> ToolEvidence,Tool,ToolEvidence
1,4.126546320069788e-07,222,HAS_GLM_RUN,Dataset -[HAS_GLM_RUN]-> GLMRun,Dataset,GLMRun
1,4.126546320069788e-07,223,HAS_GLM_RUN,OpenNeuro -[HAS_GLM_RUN]-> GLMRun,OpenNeuro,GLMRun
1,4.126546320069788e-07,224,HAS_GLM_RUN,TaskSpec -[HAS_GLM_RUN]-> GLMRun,TaskSpec,GLMRun
1,4.126546320069788e-07,225,HAS_SUMMARY,GLMRun -[HAS_SUMMARY]-> ResultSummary,GLMRun,ResultSummary
1,4.126546320069788e-07,226,IN_SPACE,Atlas -[IN_SPACE]-> TemplateSpace,Atlas,TemplateSpace
1,4.126546320069788e-07,227,LOCATED_IN,Coordinate -[LOCATED_IN]-> Region,Coordinate,Region
