edge_count,edge_share,rank,relationship_type,schema_triple,source_label_count,source_labels,source_labels_key,target_label_count,target_labels,target_labels_key
1839,0.000758871868260834,30,HAS_MODALITY,Dataset|DataResource -[HAS_MODALITY]-> Modality,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['Modality'],Modality
1694,0.0006990369466198221,31,HOSTED_AT,Dataset|DataResource -[HOSTED_AT]-> Repository,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['Repository'],Repository
1585,0.0006540575917310614,32,HAS_CONTRAST,Task -[HAS_CONTRAST]-> Contrast,1,['Task'],Task,1,['Contrast'],Contrast
1569,0.0006474551176189498,33,HAS_TASK,Dataset|DataResource -[HAS_TASK]-> Task,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['Task'],Task
1454,0.0005999998349381472,34,BELONGS_TO,StatisticalMap -[BELONGS_TO]-> StatisticalMap,1,['StatisticalMap'],StatisticalMap,1,['StatisticalMap'],StatisticalMap
1337,0.0005517192429933306,35,ABOUT,Tool -[ABOUT]-> Concept|OntologyConcept|OnvocClass,1,['Tool'],Tool,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
1327,0.0005475926966732609,36,HAS_REGION,Atlas -[HAS_REGION]-> BrainRegion,1,['Atlas'],Atlas,1,['BrainRegion'],BrainRegion
1326,0.0005471800420412539,37,PART_OF,BrainRegion -[PART_OF]-> BrainRegion,1,['BrainRegion'],BrainRegion,1,['BrainRegion'],BrainRegion
1312,0.0005414028771931562,38,MAPS_TO,Concept -[MAPS_TO]-> Task,1,['Concept'],Concept,1,['Task'],Task
1289,0.0005319118206569957,39,MAPS_TO,Task -[MAPS_TO]-> Concept,1,['Task'],Task,1,['Concept'],Concept
1237,0.0005104537797926328,40,ASSERTS,Task -[ASSERTS]-> Concept,1,['Task'],Task,1,['Concept'],Concept
1218,0.0005026133417845002,41,HAS_PHENOTYPE,SubjectGroup -[HAS_PHENOTYPE]-> Phenotype,1,['SubjectGroup'],SubjectGroup,1,['Phenotype'],Phenotype
1218,0.0005026133417845002,42,MEASUREDBY,Concept -[MEASUREDBY]-> Task,1,['Concept'],Concept,1,['Task'],Task
1091,0.0004502062035196139,43,HASCITATION,Task -[HASCITATION]-> Citation,1,['Task'],Task,1,['Citation'],Citation
990,0.00040852808568690903,44,INVOLVES_SPECIES,Dataset|DataResource -[INVOLVES_SPECIES]-> Species,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['Species'],Species
807,0.0003330122880296319,45,HASCONDITION,Task -[HASCONDITION]-> TaskCondition,1,['Task'],Task,1,['TaskCondition'],TaskCondition
796,0.00032847308707755515,46,HAS_REGION,Parcellation -[HAS_REGION]-> BrainRegion,1,['Parcellation'],Parcellation,1,['BrainRegion'],BrainRegion
765,0.0003156807934853388,47,CLASSIFIED_UNDER,Concept|OntologyConcept|OnvocClass -[CLASSIFIED_UNDER]-> Concept|OntologyConcept|OnvocClass,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
750,0.0003094909740052341,48,USES_CONDITION,Contrast|GLMContrast -[USES_CONDITION]-> Condition,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,1,['Condition'],Condition
621,0.00025625852647633387,49,MAPS_TO,Contrast|GLMContrast -[MAPS_TO]-> Contrast|GLMContrast,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
612,0.00025254463478827105,50,SUGGESTS_MEASURES,Task -[SUGGESTS_MEASURES]-> Task,1,['Task'],Task,1,['Task'],Task
584,0.00024099030509207564,51,HASINDICATOR,Task -[HASINDICATOR]-> TaskIndicator,1,['Task'],Task,1,['TaskIndicator'],TaskIndicator
523,0.00021581837253964993,52,CLASSIFIEDUNDER,Concept -[CLASSIFIEDUNDER]-> Process|ConceptClass,1,['Concept'],Concept,2,"['Process', 'ConceptClass']",Process|ConceptClass
517,0.00021334244474760804,53,BELONGS_TO,Contrast|GLMContrast -[BELONGS_TO]-> Publication,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,1,['Publication'],Publication
468,0.00019312236777926608,54,IN_ONVOC,Contrast -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['Contrast'],Contrast,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
432,0.00017826680102701485,55,HAS_RESOURCE,TaskAnalysis -[HAS_RESOURCE]-> DataResource|OpenNeuro,1,['TaskAnalysis'],TaskAnalysis,2,"['DataResource', 'OpenNeuro']",DataResource|OpenNeuro
429,0.00017702883713099392,56,KINDOF,Concept -[KINDOF]-> Concept,1,['Concept'],Concept,1,['Concept'],Concept
402,0.00016588716206680548,57,INCLUDES,Dataset -[INCLUDES]-> SubjectGroup,1,['Dataset'],Dataset,1,['SubjectGroup'],SubjectGroup
393,0.00016217327037874266,58,HAS_CONTRAST,ModelSpec -[HAS_CONTRAST]-> Contrast|GLMContrast,1,['ModelSpec'],ModelSpec,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
367,0.00015144424994656123,59,IN_ONVOC,Dataset|DataResource -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,2,"['Dataset', 'DataResource']",Dataset|DataResource,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
362,0.00014938097678652632,60,PRODUCES_RESOURCE,ToolVersion -[PRODUCES_RESOURCE]-> ResourceType,1,['ToolVersion'],ToolVersion,1,['ResourceType'],ResourceType
338,0.00013947726561835884,61,CONSUMES_RESOURCE,ToolVersion -[CONSUMES_RESOURCE]-> ResourceType,1,['ToolVersion'],ToolVersion,1,['ResourceType'],ResourceType
310,0.00012792293592216343,62,HAS_CONDITION,TaskAnalysis -[HAS_CONDITION]-> Condition,1,['TaskAnalysis'],TaskAnalysis,1,['Condition'],Condition
292,0.00012049515254603782,63,AFFILIATED_WITH,Author -[AFFILIATED_WITH]-> Institution,1,['Author'],Author,1,['Institution'],Institution
263,0.00010852816821783543,64,PARTOF,Concept -[PARTOF]-> Concept,1,['Concept'],Concept,1,['Concept'],Concept
254,0.00010481427652977262,65,ABOUT,Dataset -[ABOUT]-> Concept|OntologyConcept|OnvocClass,1,['Dataset'],Dataset,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
243,0.00010027507557769585,66,HAS_CONTRAST,Dataset|OpenNeuro -[HAS_CONTRAST]-> Contrast|GLMContrast,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
243,0.00010027507557769585,67,HAS_CONTRAST,TaskSpec -[HAS_CONTRAST]-> Contrast|GLMContrast,1,['TaskSpec'],TaskSpec,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
232,9.573587462561909e-05,68,AUTHORED_BY,Publication -[AUTHORED_BY]-> Author,1,['Publication'],Publication,1,['Author'],Author
217,8.95460551455144e-05,69,BELONGS_TO,Contrast|GLMContrast -[BELONGS_TO]-> Study,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,1,['Study'],Study
202,8.335623566540972e-05,70,HASCITATION,Concept -[HASCITATION]-> Citation,1,['Concept'],Concept,1,['Citation'],Citation
185,7.634110692129108e-05,71,RELATED_TO,Task -[RELATED_TO]-> Concept,1,['Task'],Task,1,['Concept'],Concept
176,7.262721523322827e-05,72,BELONGS_TO_FAMILY,Task -[BELONGS_TO_FAMILY]-> TaskFamily,1,['Task'],Task,1,['TaskFamily'],TaskFamily
162,6.685005038513057e-05,73,REQUIRES_FIELD,ReviewRule -[REQUIRES_FIELD]-> ReviewSchemaField,1,['ReviewRule'],ReviewRule,1,['ReviewSchemaField'],ReviewSchemaField
151,6.231084943305381e-05,74,USES_TASK,Experiment|Psych101Experiment -[USES_TASK]-> Task,2,"['Experiment', 'Psych101Experiment']",Experiment|Psych101Experiment,1,['Task'],Task
148,6.107288553703286e-05,75,HAS_GLM_PRIOR,TaskSpec -[HAS_GLM_PRIOR]-> GLMDesignPrior,1,['TaskSpec'],TaskSpec,1,['GLMDesignPrior'],GLMDesignPrior
144,5.942226700900495e-05,76,HAS_RESOURCE,ModelSpec -[HAS_RESOURCE]-> DataResource|OpenNeuro,1,['ModelSpec'],ModelSpec,2,"['DataResource', 'OpenNeuro']",DataResource|OpenNeuro
134,5.5295720688935164e-05,77,INBATTERY,Task -[INBATTERY]-> Battery,1,['Task'],Task,1,['Battery'],Battery
102,4.209077246471184e-05,78,HAS_VALIDITY_LAYER,ReviewRule -[HAS_VALIDITY_LAYER]-> ReviewValidityLayer,1,['ReviewRule'],ReviewRule,1,['ReviewValidityLayer'],ReviewValidityLayer
99,4.0852808568690905e-05,79,PART_OF,Dataset|DataResource -[PART_OF]-> Consortium,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['Consortium'],Consortium
98,4.044015393668392e-05,80,CLASSIFIED_UNDER,Experiment|Psych101Experiment -[CLASSIFIED_UNDER]-> TaskFamily,2,"['Experiment', 'Psych101Experiment']",Experiment|Psych101Experiment,1,['TaskFamily'],TaskFamily
81,3.3425025192565284e-05,81,HAS_REASON_TAG,ReviewRule -[HAS_REASON_TAG]-> ReviewReasonTag,1,['ReviewRule'],ReviewRule,1,['ReviewReasonTag'],ReviewReasonTag
80,3.301237056055831e-05,82,CONTAINS_IMPLEMENTATION_RULE,ReviewImplementationRuleCatalog -[CONTAINS_IMPLEMENTATION_RULE]-> ReviewImplementationRule,1,['ReviewImplementationRuleCatalog'],ReviewImplementationRuleCatalog,1,['ReviewImplementationRule'],ReviewImplementationRule
76,3.136175203253039e-05,83,HAS_EXPERIMENT,Dataset|Psych101Dataset -[HAS_EXPERIMENT]-> Experiment|Psych101Experiment,2,"['Dataset', 'Psych101Dataset']",Dataset|Psych101Dataset,2,"['Experiment', 'Psych101Experiment']",Experiment|Psych101Experiment
72,2.9711133504502474e-05,84,DESCRIBES_TASK,ModelSpec -[DESCRIBES_TASK]-> TaskAnalysis,1,['ModelSpec'],ModelSpec,1,['TaskAnalysis'],TaskAnalysis
72,2.9711133504502474e-05,85,HAS_GLM_PRIOR,Dataset|OpenNeuro -[HAS_GLM_PRIOR]-> GLMDesignPrior,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro,1,['GLMDesignPrior'],GLMDesignPrior
72,2.9711133504502474e-05,86,HAS_TASK,Dataset|DataResource -[HAS_TASK]-> TaskSpec,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['TaskSpec'],TaskSpec
71,2.9298478872495497e-05,87,CONTAINS_RULE,ReviewRuleRegistry -[CONTAINS_RULE]-> ReviewRule,1,['ReviewRuleRegistry'],ReviewRuleRegistry,1,['ReviewRule'],ReviewRule
71,2.9298478872495497e-05,88,HAS_LIFECYCLE_STATUS,ReviewRule -[HAS_LIFECYCLE_STATUS]-> ReviewLifecycleStatus,1,['ReviewRule'],ReviewRule,1,['ReviewLifecycleStatus'],ReviewLifecycleStatus
71,2.9298478872495497e-05,89,HAS_SEVERITY,ReviewRule -[HAS_SEVERITY]-> ReviewSeverity,1,['ReviewRule'],ReviewRule,1,['ReviewSeverity'],ReviewSeverity
71,2.9298478872495497e-05,90,IN_RULE_GROUP,ReviewRule -[IN_RULE_GROUP]-> ReviewRuleGroup,1,['ReviewRule'],ReviewRule,1,['ReviewRuleGroup'],ReviewRuleGroup
61,2.517193255242571e-05,91,MAPS_TO,Collection -[MAPS_TO]-> Dataset|DataResource,1,['Collection'],Collection,2,"['Dataset', 'DataResource']",Dataset|DataResource
60,2.475927792041873e-05,92,CONTAINS_CALIBRATION_CASE,ReviewRuleRegistry -[CONTAINS_CALIBRATION_CASE]-> ReviewCalibrationCase,1,['ReviewRuleRegistry'],ReviewRuleRegistry,1,['ReviewCalibrationCase'],ReviewCalibrationCase
60,2.475927792041873e-05,93,MAPS_TO,Concept -[MAPS_TO]-> Concept|OntologyConcept|OnvocClass,1,['Concept'],Concept,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
55,2.2696004760383833e-05,94,CALIBRATES_RULE,ReviewCalibrationCase -[CALIBRATES_RULE]-> ReviewRule,1,['ReviewCalibrationCase'],ReviewCalibrationCase,1,['ReviewRule'],ReviewRule
52,2.14580408643629e-05,95,CONTRAST_OF,Contrast|GLMContrast -[CONTRAST_OF]-> Concept,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,1,['Concept'],Concept
49,2.022007696834196e-05,96,CITED_BY,Dataset|DataResource -[CITED_BY]-> Publication,2,"['Dataset', 'DataResource']",Dataset|DataResource,1,['Publication'],Publication
40,1.6506185280279154e-05,97,ABOUT,Dataset|OpenNeuro -[ABOUT]-> Concept|OntologyConcept|OnvocClass,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
40,1.6506185280279154e-05,98,IN_ONVOC,Contrast|GLMContrast -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
40,1.6506185280279154e-05,99,IN_ONVOC,StatMap -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['StatMap'],StatMap,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
38,1.5680876016265196e-05,100,HAS_TASK,Dataset|OpenNeuro -[HAS_TASK]-> TaskSpec,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro,1,['TaskSpec'],TaskSpec
38,1.5680876016265196e-05,101,MAPS_TO,Dataset|OpenNeuro -[MAPS_TO]-> Dataset|OpenNeuro,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro
37,1.5268221384258216e-05,102,DERIVED_FROM,StatMap -[DERIVED_FROM]-> Contrast,1,['StatMap'],StatMap,1,['Contrast'],Contrast
32,1.3204948224223322e-05,103,MEASURES,TaskAnalysis -[MEASURES]-> Concept,1,['TaskAnalysis'],TaskAnalysis,1,['Concept'],Concept
28,1.1554329696195407e-05,104,MAPPED_TO_IMPLEMENTATION,ReviewRule -[MAPPED_TO_IMPLEMENTATION]-> ReviewImplementationRule,1,['ReviewRule'],ReviewRule,1,['ReviewImplementationRule'],ReviewImplementationRule
26,1.072902043218145e-05,105,HAS_PARCEL,Parcellation -[HAS_PARCEL]-> Parcel,1,['Parcellation'],Parcellation,1,['Parcel'],Parcel
23,9.491056536160513e-06,106,IN_ONVOC,TaskAnalysis -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['TaskAnalysis'],TaskAnalysis,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
22,9.078401904153534e-06,107,IN_ONVOC,Concept -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['Concept'],Concept,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
19,7.840438008132598e-06,108,MAPS_TO,TaskAnalysis -[MAPS_TO]-> Task,1,['TaskAnalysis'],TaskAnalysis,1,['Task'],Task
19,7.840438008132598e-06,109,MAPS_TO,StatisticalMap -[MAPS_TO]-> Dataset|DataResource,1,['StatisticalMap'],StatisticalMap,2,"['Dataset', 'DataResource']",Dataset|DataResource
19,7.840438008132598e-06,110,MAPS_TO,Contrast -[MAPS_TO]-> Contrast|GLMContrast,1,['Contrast'],Contrast,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
18,7.4277833761256185e-06,111,IN_SPACE,Parcellation -[IN_SPACE]-> TemplateSpace,1,['Parcellation'],Parcellation,1,['TemplateSpace'],TemplateSpace
17,7.01512874411864e-06,112,IN_ONVOC,TaskSpec -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['TaskSpec'],TaskSpec,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
17,7.01512874411864e-06,113,IN_PARCELLATION,BrainRegion -[IN_PARCELLATION]-> Parcellation,1,['BrainRegion'],BrainRegion,1,['Parcellation'],Parcellation
14,5.7771648480977035e-06,114,MAPS_TO,Collection -[MAPS_TO]-> Dataset,1,['Collection'],Collection,1,['Dataset'],Dataset
11,4.539200952076767e-06,115,VALIDATED_ON,Tool -[VALIDATED_ON]-> Dataset|DataResource,1,['Tool'],Tool,2,"['Dataset', 'DataResource']",Dataset|DataResource
10,4.126546320069788e-06,116,ABOUT,Study -[ABOUT]-> Concept|OntologyConcept|OnvocClass,1,['Study'],Study,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
8,3.3012370560558305e-06,117,MEASURES,Concept -[MEASURES]-> Task,1,['Concept'],Concept,1,['Task'],Task
7,2.8885824240488517e-06,118,HAS_VARIANT,GLMRun -[HAS_VARIANT]-> GLMVariant,1,['GLMRun'],GLMRun,1,['GLMVariant'],GLMVariant
6,2.475927792041873e-06,119,DERIVED_FROM,StatMap -[DERIVED_FROM]-> Contrast|GLMContrast,1,['StatMap'],StatMap,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
6,2.475927792041873e-06,120,HAS_POLICY_DECISION,ReviewRuleRegistry -[HAS_POLICY_DECISION]-> ReviewPolicyDecision,1,['ReviewRuleRegistry'],ReviewRuleRegistry,1,['ReviewPolicyDecision'],ReviewPolicyDecision
6,2.475927792041873e-06,121,HAS_RESOURCE,Parcellation -[HAS_RESOURCE]-> DataResource,1,['Parcellation'],Parcellation,1,['DataResource'],DataResource
5,2.063273160034894e-06,122,ACTIVATES,Task -[ACTIVATES]-> Region,1,['Task'],Task,1,['Region'],Region
5,2.063273160034894e-06,123,MAPS_TO,StatisticalMap -[MAPS_TO]-> Dataset,1,['StatisticalMap'],StatisticalMap,1,['Dataset'],Dataset
5,2.063273160034894e-06,124,TRIGGERS_SENSITIVITY,ReviewRule -[TRIGGERS_SENSITIVITY]-> ReviewSensitivityTemplate,1,['ReviewRule'],ReviewRule,1,['ReviewSensitivityTemplate'],ReviewSensitivityTemplate
4,1.6506185280279152e-06,125,HAD_FAILURE,Run -[HAD_FAILURE]-> ExecutionFailure,1,['Run'],Run,1,['ExecutionFailure'],ExecutionFailure
4,1.6506185280279152e-06,126,HAS_GLM_PRIOR,Task -[HAS_GLM_PRIOR]-> GLMDesignPrior,1,['Task'],Task,1,['GLMDesignPrior'],GLMDesignPrior
3,1.2379638960209365e-06,127,FAILED_ON,Tool -[FAILED_ON]-> Dataset|DataResource,1,['Tool'],Tool,2,"['Dataset', 'DataResource']",Dataset|DataResource
3,1.2379638960209365e-06,128,HAD_FAILURE,Tool -[HAD_FAILURE]-> ExecutionFailure,1,['Tool'],Tool,1,['ExecutionFailure'],ExecutionFailure
3,1.2379638960209365e-06,129,MAPS_TO,TaskAnalysis -[MAPS_TO]-> Concept,1,['TaskAnalysis'],TaskAnalysis,1,['Concept'],Concept
3,1.2379638960209365e-06,130,RELATED_TO,Concept -[RELATED_TO]-> Task,1,['Concept'],Concept,1,['Task'],Task
2,8.253092640139576e-07,131,DOCUMENTED_IN,Tool -[DOCUMENTED_IN]-> Publication,1,['Tool'],Tool,1,['Publication'],Publication
2,8.253092640139576e-07,132,HAS_PARCELLATION,Atlas -[HAS_PARCELLATION]-> Parcellation,1,['Atlas'],Atlas,1,['Parcellation'],Parcellation
2,8.253092640139576e-07,133,RELATED_TO,Concept -[RELATED_TO]-> Concept,1,['Concept'],Concept,1,['Concept'],Concept
2,8.253092640139576e-07,134,VALIDATED_ON,Tool -[VALIDATED_ON]-> DataResource,1,['Tool'],Tool,1,['DataResource'],DataResource
1,4.126546320069788e-07,135,ACTIVATES,Concept -[ACTIVATES]-> Task,1,['Concept'],Concept,1,['Task'],Task
1,4.126546320069788e-07,136,CALIBRATES_MODIFIER,ReviewCalibrationCase -[CALIBRATES_MODIFIER]-> ReviewPositiveModifier,1,['ReviewCalibrationCase'],ReviewCalibrationCase,1,['ReviewPositiveModifier'],ReviewPositiveModifier
1,4.126546320069788e-07,137,CITES,Atlas -[CITES]-> Publication,1,['Atlas'],Atlas,1,['Publication'],Publication
1,4.126546320069788e-07,138,CITES,Concept -[CITES]-> Task,1,['Concept'],Concept,1,['Task'],Task
1,4.126546320069788e-07,139,CONTAINS_MODIFIER,ReviewRuleRegistry -[CONTAINS_MODIFIER]-> ReviewPositiveModifier,1,['ReviewRuleRegistry'],ReviewRuleRegistry,1,['ReviewPositiveModifier'],ReviewPositiveModifier
1,4.126546320069788e-07,140,CONTRAST_OF,Contrast|GLMContrast -[CONTRAST_OF]-> Concept|OntologyConcept|OnvocClass,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
1,4.126546320069788e-07,141,HAS_EVIDENCE,Tool -[HAS_EVIDENCE]-> ToolEvidence,1,['Tool'],Tool,1,['ToolEvidence'],ToolEvidence
1,4.126546320069788e-07,142,HAS_GLM_RUN,Dataset|OpenNeuro -[HAS_GLM_RUN]-> GLMRun,2,"['Dataset', 'OpenNeuro']",Dataset|OpenNeuro,1,['GLMRun'],GLMRun
1,4.126546320069788e-07,143,HAS_GLM_RUN,TaskSpec -[HAS_GLM_RUN]-> GLMRun,1,['TaskSpec'],TaskSpec,1,['GLMRun'],GLMRun
1,4.126546320069788e-07,144,HAS_SUMMARY,GLMRun -[HAS_SUMMARY]-> ResultSummary,1,['GLMRun'],GLMRun,1,['ResultSummary'],ResultSummary
1,4.126546320069788e-07,145,IN_SPACE,Atlas -[IN_SPACE]-> TemplateSpace,1,['Atlas'],Atlas,1,['TemplateSpace'],TemplateSpace
1,4.126546320069788e-07,146,LOCATED_IN,Coordinate -[LOCATED_IN]-> Region,1,['Coordinate'],Coordinate,1,['Region'],Region
1,4.126546320069788e-07,147,MEASURED_BY,Concept -[MEASURED_BY]-> Task,1,['Concept'],Concept,1,['Task'],Task
1,4.126546320069788e-07,148,MENTIONS_CONCEPT,Publication -[MENTIONS_CONCEPT]-> Concept,1,['Publication'],Publication,1,['Concept'],Concept
